19
1,The Dog of Winterfell,Arya,10.00,12,5,1 1 12,1 2 12
2,The Dog of Winterfell,Arya,10.00,22,5,2 1 12,2 2 12
3,The Dog of Winterfell,Arya,10.00,32,5,3 1 12,3 2 12
4,The Dog of Winterfell,Arya,10.00,42,5,4 1 12,4 2 12
5,The Dog of Winterfell,Arya,10.00,52,5,5 1 12,5 2 12
6,The Dog of Winterfell,Arya,10.00,62,5,6 1 12,6 2 12
7,The Dog of Winterfell,Arya,10.00,72,5,7 1 12,7 2 12
8,The Dog of Winterfell,Arya,10.00,82,5,8 1 12,8 2 12
9,The Dog of Winterfell,Arya,10.00,92,5,9 1 12,9 2 12
10,The Dog of Winterfell,Arya,10.00,102,5,10 1 12,10 2 12
11,The Dog of Winterfell,Arya,10.00,112,5,11 1 12,11 2 12
12,The Dog of Winterfell,Arya,10.00,122,5,12 1 12,12 2 12
13,The Dog of Winterfell,Arya,10.00,132,5,13 1 12,13 2 12
14,The Dog of Winterfell,Arya,10.00,142,5,14 1 12,14 2 12
15,The Dog of Winterfell,Arya,10.00,152,5,15 1 12,15 2 12
16,The Dog of Winterfell,Arya,10.00,162,5,16 1 12,16 2 12
17,The Dog of Winterfell,Arya,10.00,172,5,17 1 12,17 2 12
18,The Dog of Winterfell,Arya,10.00,182,5,18 1 12,18 2 12
19,Hello Darkness,Robin Thicke,10.99,35,1,0 0 0,0 0 0
